figure_id,paper_id,field,figure_image_path
FIG_00000001,2605.30353v1,AI,figures/AI/FIG_00000001.png
FIG_00000002,2605.30353v1,AI,figures/AI/FIG_00000002.png
FIG_00000003,2605.30351v1,AI,figures/AI/FIG_00000003.png
FIG_00000004,2605.30351v1,AI,figures/AI/FIG_00000004.png
FIG_00000005,2605.30351v1,AI,figures/AI/FIG_00000005.png
FIG_00000006,2605.30351v1,AI,figures/AI/FIG_00000006.png
FIG_00000007,2605.30351v1,AI,figures/AI/FIG_00000007.png
FIG_00000008,2605.30351v1,AI,figures/AI/FIG_00000008.png
FIG_00000009,2605.30351v1,AI,figures/AI/FIG_00000009.png
FIG_00000010,2605.30351v1,AI,figures/AI/FIG_00000010.png
FIG_00000011,2605.30351v1,AI,figures/AI/FIG_00000011.png
FIG_00000012,2605.30348v1,AI,figures/AI/FIG_00000012.png
FIG_00000013,2605.30348v1,AI,figures/AI/FIG_00000013.png
FIG_00000014,2605.30348v1,AI,figures/AI/FIG_00000014.png
FIG_00000015,2605.30348v1,AI,figures/AI/FIG_00000015.png
FIG_00000016,2605.30348v1,AI,figures/AI/FIG_00000016.png
FIG_00000017,2605.30348v1,AI,figures/AI/FIG_00000017.png
FIG_00000018,2605.30345v1,AI,figures/AI/FIG_00000018.png
FIG_00000019,2605.30345v1,AI,figures/AI/FIG_00000019.png
FIG_00000020,2605.30345v1,AI,figures/AI/FIG_00000020.png
FIG_00000021,2605.30345v1,AI,figures/AI/FIG_00000021.png
FIG_00000022,2605.30345v1,AI,figures/AI/FIG_00000022.png
FIG_00000023,2605.30345v1,AI,figures/AI/FIG_00000023.png
FIG_00000024,2605.30345v1,AI,figures/AI/FIG_00000024.png
FIG_00000025,2605.30345v1,AI,figures/AI/FIG_00000025.png
FIG_00000026,2605.30344v1,AI,figures/AI/FIG_00000026.png
FIG_00000027,2605.30344v1,AI,figures/AI/FIG_00000027.png
FIG_00000028,2605.30344v1,AI,figures/AI/FIG_00000028.png
FIG_00000029,2605.30344v1,AI,figures/AI/FIG_00000029.png
FIG_00000030,2605.30344v1,AI,figures/AI/FIG_00000030.png
FIG_00000031,2605.30344v1,AI,figures/AI/FIG_00000031.png
FIG_00000032,2605.30344v1,AI,figures/AI/FIG_00000032.png
FIG_00000033,2605.30344v1,AI,figures/AI/FIG_00000033.png
FIG_00000034,2605.30343v1,AI,figures/AI/FIG_00000034.png
FIG_00000035,2605.30343v1,AI,figures/AI/FIG_00000035.png
FIG_00000036,2605.30343v1,AI,figures/AI/FIG_00000036.png
FIG_00000037,2605.30343v1,AI,figures/AI/FIG_00000037.png
FIG_00000038,2605.30343v1,AI,figures/AI/FIG_00000038.png
FIG_00000039,2605.30343v1,AI,figures/AI/FIG_00000039.png
FIG_00000040,2605.30343v1,AI,figures/AI/FIG_00000040.png
FIG_00000041,2605.30343v1,AI,figures/AI/FIG_00000041.png
FIG_00000042,2605.30343v1,AI,figures/AI/FIG_00000042.png
FIG_00000043,2605.30343v1,AI,figures/AI/FIG_00000043.png
FIG_00000044,2605.30343v1,AI,figures/AI/FIG_00000044.png
FIG_00000045,2605.30343v1,AI,figures/AI/FIG_00000045.png
FIG_00000046,2605.30343v1,AI,figures/AI/FIG_00000046.png
FIG_00000047,2605.30343v1,AI,figures/AI/FIG_00000047.png
FIG_00000048,2605.30343v1,AI,figures/AI/FIG_00000048.png
FIG_00000049,2605.30341v1,AI,figures/AI/FIG_00000049.png
FIG_00000050,2605.30341v1,AI,figures/AI/FIG_00000050.png
FIG_00000051,2605.30341v1,AI,figures/AI/FIG_00000051.png
FIG_00000052,2605.30341v1,AI,figures/AI/FIG_00000052.png
FIG_00000053,2605.30341v1,AI,figures/AI/FIG_00000053.png
FIG_00000054,2605.30341v1,AI,figures/AI/FIG_00000054.png
FIG_00000055,2605.30341v1,AI,figures/AI/FIG_00000055.png
FIG_00000056,2605.30341v1,AI,figures/AI/FIG_00000056.png
FIG_00000057,2605.30341v1,AI,figures/AI/FIG_00000057.png
FIG_00000058,2605.30341v1,AI,figures/AI/FIG_00000058.png
FIG_00000059,2605.30341v1,AI,figures/AI/FIG_00000059.png
FIG_00000060,2605.30341v1,AI,figures/AI/FIG_00000060.png
FIG_00000061,2605.30341v1,AI,figures/AI/FIG_00000061.png
FIG_00000062,2605.30341v1,AI,figures/AI/FIG_00000062.png
FIG_00000063,2605.30341v1,AI,figures/AI/FIG_00000063.png
FIG_00000064,2605.30341v1,AI,figures/AI/FIG_00000064.png
FIG_00000065,2605.30341v1,AI,figures/AI/FIG_00000065.png
FIG_00000066,2605.30341v1,AI,figures/AI/FIG_00000066.png
FIG_00000067,2605.30341v1,AI,figures/AI/FIG_00000067.png
FIG_00000068,2605.30341v1,AI,figures/AI/FIG_00000068.png
FIG_00000069,2605.30341v1,AI,figures/AI/FIG_00000069.png
FIG_00000070,2605.30341v1,AI,figures/AI/FIG_00000070.png
FIG_00000071,2605.30341v1,AI,figures/AI/FIG_00000071.png
